,Questions,Correct,A,B,C,D
612,"Who can be best described as doubting Thomas?
",Someone who believes only what he sees,Someone who believes only what he sees,Anyone who doesnt believe in God,A left-wing politician,"A scientist (especially in physics, mathematics, chemistry and biology)"
613,"Which of the following can be described as a prodigal son?
",A young man who wastes his parents money on parties,The youngest son in the family,A young man who wastes his parents money on parties,A son that is very obedient and does dutifully everything his parents tell him,The firstborn son
614,"What does the sentence Ann was the apple of Marks eye tell us about the relation between those two?
",Mark is deeply in love with Ann.,Mark hates Ann.,Mark is deeply in love with Ann.,Ann is deeply in love with Mark.,Ann hates Mark.
615,"What characteristic is commonly attributed to King Solomon?
",Wisdom,Wealth,Lust,Hunger,Wisdom
616,"What message am I conveying, if I say I dont know him from Adam?
",The person is completely unknown to me.,I know very little about the person.,"In spite of the negative form, the idiom means that you know someone very well.",The person is completely unknown to me.,I dont know his true character.
617,"What does the phrase of biblical proportions mean?
","of a vast, enormous scale","of a vast, enormous scale",of little importance,related to a flood,very sinful in its nature
618,"If John knows Mary in the biblical sense, what can we say about the pair?
",They have had sex.,Mary is Johns sister.,They have had sex.,Their parents decided about their marriage.,"They are in a Platonic relationship (ie. love, but no sex)."
619,"What Biblical character said the following?
"," petition and my request is this:If the king regards me with favor and if it pleases the king to grant my petition and fulfill my request, let the king and Haman come tomorrow to the banquet  I will prepare for them. Then I will answer the kings question.",Esther,Esther,Martha,Ruth
620,"The following words belong to this biblical figure:
","y the day of my birth perish, and the night it was said,A boy is born! That day-may it turn to darkness; may the God above not care about it; may no light shine upon it.",Job,Jesus,John the Baptist,Abraham
621,"What Biblical hero delivered these words?
","t of the eater, something to eat; out of the strong, something sweet.",Samson,Samson,Solomon,David
622,"What Biblical character asked the following question? 
"," I leading a rebellion, that you have come out with swords and clubs to capture me?",Jesus,Peter,Jude,Jesus
623,"What character from the Bible said the following? Get rid of that slave woman and her son, for that slave womans son will never share in the inheritance with my son Isaac.
",Sarah,Ruth,Sarah,Leah,Rebeccah
624,"Who said the following: It is not the healthy who need a doctor, but the sick. But go and learn what this means: I desire mercy, not sacrifice. For I have not come to call the righteous, but sinners.
",Jesus,John,Jesus,Joseph,Matthew
625,"What Biblical figure said this? 
","am now an old man and dont know the day of my death. Now then, get your weapons-your quiver and bow-and go out to the open country to hunt some wild game for me. Prepare me the kind of tasty food I like and bring it to me to eat, so that I may give you my  blessing before I die.",Issac,Jacob,Esau,Adam
626,"Name the Biblical character who delivered these words: Pick me up and throw me into the sea, and it will become calm, I know that is is my fault that this great storm has come upon you.
",Jonah,Obadiah,Micah,Haggai,Jonah
627,"What character from the Bible said this?
",rd dont you care that my sister has left me to do the work by myself? Tell her to help me!,Martha,Queen Vashti,Martha,Mary
628,"Who delivered these words: Suppose I go to the Israelites and say to them, The God of your fathers has sent me to you, and they ask me, ‘What is his name? Then what shall I tell them?
",Moses,Joseph,Jonah,Moses,Aaron
629,"What is the symbol of the dhamma (dharma)?
",wheel,flag,wheel,chair,flower
630,"What Buddhist term refers to the cycle of reincarnation or rebirth?
",Samsara,Dharma,Samsara,Naraka,Asura
631,"What does the word buddha mean?
",awake,light,the only one,god,awake
632,"What is the path to happiness in Buddhism?
",middle way,ancient path,path of freedom,path of love,middle way
633,"According to Buddhism what are the3 evil roots/defilements that hide the truth from us?
","delusion, hatred, greed","hatred, greed, selfishness","delusion, confusion, anger","delusion, hatred, jealousy","delusion, hatred, greed"
634,"In Buddhism which of these beings inhabit Hells?
",Naraka beings,Brahmas,Preta,Naraka beings,Asuras
635,"According to Buddhism, life is or leads to suffering in one way or another.
",True,False,True,,
636,"It is generally accepted that the last words of the Buddha were: All component things are transient, work out your salvation with diligence.
",True,True,False,,
637,"Kamma is only one of the 5 natural laws that Buddha spoke about.
",True,False,True,,
638,"According to Buddhism there are realms of existences other than human and animal realm.
",True,True,False,,
